GOTO0053017,PALMAS (TO) - GOIANIA (GO) ,18:45,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOTO0053044,GOIANIA (GO) - PALMAS (TO),19:15,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOTO0053044,GOIANIA (GO) - PALMAS (TO),19:15,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOTO0053044,PALMAS (TO) - GOIANIA (GO) ,19:15,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOTO0053044,PALMAS (TO) - GOIANIA (GO) ,19:15,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BADF0053048,Barreiras (BA)  - Brasília (DF) ,21:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BADF0053048,Barreiras (BA)  - Brasília (DF) ,21:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BADF0053048,Brasília (DF) - Barreiras (BA)  ,20:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BADF0053048,Brasília (DF) - Barreiras (BA)  ,20:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053051,BARREIRAS(BA) - GOIANIA(GO)            ,19:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053051,BARREIRAS(BA) - GOIANIA(GO)            ,19:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053051,GOIANIA(GO) - BARREIRAS(BA) ,19:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053051,GOIANIA(GO) - BARREIRAS(BA) ,19:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOBA0053025,TRINDADE(GO) - TABOCAS DO BREJO VELHO(BA),16:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOBA0053025,TRINDADE(GO) - TABOCAS DO BREJO VELHO(BA),16:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOBA0053025,TABOCAS DO BREJO VELHO(BA) - TRINDADE(GO),16:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOBA0053025,TABOCAS DO BREJO VELHO(BA) - TRINDADE(GO),16:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOPI0053027,TRINDADE(GO) - CORRENTE(PI)                                                                        ,17:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOPI0053027,CORRENTE(PI) - TRINDADE(GO),17:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053035,APODI (RN) - TRINDADE(GO) ,06:30,volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0115001,BRASILIA (DF) - BELO HORIZONTE (MG),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0115001,BRASILIA (DF) - BELO HORIZONTE (MG),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0115001,BELO HORIZONTE (MG) - BRASILIA (DF),19:30,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0115001,BELO HORIZONTE (MG) - BRASILIA (DF),19:30,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOSP0053028,GOIÂNIA (GO) - SAO PAULO(SP),06:00,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GOSP0053028,SAO PAULO(SP) - GOIÂNIA (GO) -,14:00,volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053052,COCOS (BA) - GOIANIA (GO),17:45,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
BAGO0053052,COCOS (BA) - GOIANIA (GO),18:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFPI0053015,BRASILIA (DF) - TERESINA (PI),12:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFPI0053015,BRASILIA (DF) - TERESINA (PI),13:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNBA0053054,NATAL (RN) - SALVADOR (BA),07:55,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNBA0053054,NATAL (RN) - SALVADOR (BA),09:45,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CERN0053047,NATAL (RN) - FORTALEZA (CE),21:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CERN0053047,NATAL (RN) - FORTALEZA (CE),23:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),16:20,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),18:45,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),19:30,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
CEPE0053050,FORTALEZA (CE) - RECIFE(PE),16:10,Volta
